,REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
77,384004010,"                                              USA, Arkansas: White (2008-2012)","USA, Arkansas: White",False,USA,0,0,1
78,384004030,"                                              USA, Arkansas: Black (2008-2012)","USA, Arkansas: Black",False,USA,0,0,1
79,384002599,"                                                   USA, California (2008-2012)","USA, California",False,USA,0,0,1
80,384002510,"                                            USA, California: White (2008-2012)","USA, California: White",False,USA,0,0,1
81,384002530,"                                            USA, California: Black (2008-2012)","USA, California: Black",False,USA,0,0,1
82,384002542,"                                  USA, California: American Indian (2008-2012)","USA, California: American Indian",False,USA,0,0,1
83,384000399,"                               USA, California, Los Angeles County (2008-2012)","USA, California, Los Angeles County",False,USA,0,0,1
84,384000310,"                       *USA, California, Los Angeles County: White (2008-2012)","USA, California, Los Angeles County: White",True,USA,0,0,1
85,384000360,"          *USA, California, Los Angeles County: Non-Hispanic White (2008-2012)","USA, California, Los Angeles County: Non-Hispanic White",True,USA,0,0,1
86,384000350,"              *USA, California, Los Angeles County: Hispanic White (2008-2012)","USA, California, Los Angeles County: Hispanic White",True,USA,0,0,1
87,384000330,"                       *USA, California, Los Angeles County: Black (2008-2012)","USA, California, Los Angeles County: Black",True,USA,0,0,1
88,384000320,"                     *USA, California, Los Angeles County: Chinese (2008-2012)","USA, California, Los Angeles County: Chinese",True,USA,0,0,1
89,384000323,"                    *USA, California, Los Angeles County: Filipino (2008-2012)","USA, California, Los Angeles County: Filipino",True,USA,0,0,1
90,384000322,"                      *USA, California, Los Angeles County: Korean (2008-2012)","USA, California, Los Angeles County: Korean",True,USA,0,0,1
91,384000299,"                           USA, California, San Francisco Bay Area (2008-2012)","USA, California, San Francisco Bay Area",False,USA,0,0,1
92,384000210,"                   *USA, California, San Francisco Bay Area: White (2008-2012)","USA, California, San Francisco Bay Area: White",True,USA,0,0,1
93,384000260,"      *USA, California, San Francisco Bay Area: Non-Hispanic White (2008-2012)","USA, California, San Francisco Bay Area: Non-Hispanic White",True,USA,0,0,1
94,384000250,"          *USA, California, San Francisco Bay Area: Hispanic White (2008-2012)","USA, California, San Francisco Bay Area: Hispanic White",True,USA,0,0,1
95,384000230,"                   *USA, California, San Francisco Bay Area: Black (2008-2012)","USA, California, San Francisco Bay Area: Black",True,USA,0,0,1
96,384000220,"                 *USA, California, San Francisco Bay Area: Chinese (2008-2012)","USA, California, San Francisco Bay Area: Chinese",True,USA,0,0,1
97,384000223,"                *USA, California, San Francisco Bay Area: Filipino (2008-2012)","USA, California, San Francisco Bay Area: Filipino",True,USA,0,0,1
98,384000221,"                *USA, California, San Francisco Bay Area: Japanese (2008-2012)","USA, California, San Francisco Bay Area: Japanese",True,USA,0,0,1
99,384005399,"                                                     USA, Colorado (2008-2012)","USA, Colorado",False,USA,0,0,1
100,384005310,"                                              USA, Colorado: White (2008-2012)","USA, Colorado: White",False,USA,0,0,1
101,384005330,"                                              USA, Colorado: Black (2008-2012)","USA, Colorado: Black",False,USA,0,0,1
